"fish_group","rcp","sector","year","value","agg"
"Acetes shrimps","RCP 2.6","Artisanal",1950,66.975,"By fish group"
"Acetes shrimps","RCP 8.5","Artisanal",1950,66.975,"By fish group"
"Bombay duck","RCP 2.6","Artisanal",1950,1360.65,"By fish group"
"Bombay duck","RCP 8.5","Artisanal",1950,1360.65,"By fish group"
"Drums, croakers","RCP 2.6","Artisanal",1950,156.6666667,"By fish group"
"Drums, croakers","RCP 8.5","Artisanal",1950,156.6666667,"By fish group"
"Fourfinger threadfin","RCP 2.6","Artisanal",1950,0,"By fish group"
"Fourfinger threadfin","RCP 8.5","Artisanal",1950,0,"By fish group"
"Hilsa shad","RCP 2.6","Artisanal",1950,5875,"By fish group"
"Hilsa shad","RCP 8.5","Artisanal",1950,5875,"By fish group"
"Indian mackerel","RCP 2.6","Artisanal",1950,352.5,"By fish group"
"Indian mackerel","RCP 8.5","Artisanal",1950,352.5,"By fish group"
"Indo-Pacific king mackerel","RCP 2.6","Artisanal",1950,352.5,"By fish group"
"Indo-Pacific king mackerel","RCP 8.5","Artisanal",1950,352.5,"By fish group"
"Others","RCP 2.6","Artisanal",1950,13953.15072,"By fish group"
"Others","RCP 8.5","Artisanal",1950,13953.15072,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Artisanal",1950,710.875,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Artisanal",1950,710.875,"By fish group"
"Silver pomfret","RCP 2.6","Artisanal",1950,749.2326106,"By fish group"
"Silver pomfret","RCP 8.5","Artisanal",1950,749.2326106,"By fish group"
"Threadfins","RCP 2.6","Artisanal",1950,4568.4,"By fish group"
"Threadfins","RCP 8.5","Artisanal",1950,4568.4,"By fish group"
"Thryssas","RCP 2.6","Artisanal",1950,54.05,"By fish group"
"Thryssas","RCP 8.5","Artisanal",1950,54.05,"By fish group"
"Bombay duck","RCP 2.6","Industrial",1950,NA,"By fish group"
"Bombay duck","RCP 8.5","Industrial",1950,NA,"By fish group"
"Indo-Pacific king mackerel","RCP 2.6","Industrial",1950,NA,"By fish group"
"Indo-Pacific king mackerel","RCP 8.5","Industrial",1950,NA,"By fish group"
"Narrowbarred Spanish mackerel","RCP 2.6","Industrial",1950,NA,"By fish group"
"Narrowbarred Spanish mackerel","RCP 8.5","Industrial",1950,NA,"By fish group"
"Others","RCP 2.6","Industrial",1950,NA,"By fish group"
"Others","RCP 8.5","Industrial",1950,NA,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Industrial",1950,NA,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Industrial",1950,NA,"By fish group"
"Silver pomfret","RCP 2.6","Industrial",1950,NA,"By fish group"
"Silver pomfret","RCP 8.5","Industrial",1950,NA,"By fish group"
"Acetes shrimps","RCP 2.6","Subsistence",1950,14033.22763,"By fish group"
"Acetes shrimps","RCP 8.5","Subsistence",1950,14033.22763,"By fish group"
"Banana prawn","RCP 2.6","Subsistence",1950,438.4811976,"By fish group"
"Banana prawn","RCP 8.5","Subsistence",1950,438.4811976,"By fish group"
"Barramundi","RCP 2.6","Subsistence",1950,83.1397801,"By fish group"
"Barramundi","RCP 8.5","Subsistence",1950,83.1397801,"By fish group"
"Bartail flathead","RCP 2.6","Subsistence",1950,382.1184187,"By fish group"
"Bartail flathead","RCP 8.5","Subsistence",1950,382.1184187,"By fish group"
"Black pomfret","RCP 2.6","Subsistence",1950,417.9459216,"By fish group"
"Black pomfret","RCP 8.5","Subsistence",1950,417.9459216,"By fish group"
"Bombay duck","RCP 2.6","Subsistence",1950,22943.61732,"By fish group"
"Bombay duck","RCP 8.5","Subsistence",1950,22943.61732,"By fish group"
"Chinese silver pomfret","RCP 2.6","Subsistence",1950,972.2735395,"By fish group"
"Chinese silver pomfret","RCP 8.5","Subsistence",1950,972.2735395,"By fish group"
"Commercial shrimps and prawns","RCP 2.6","Subsistence",1950,1061.09329,"By fish group"
"Commercial shrimps and prawns","RCP 8.5","Subsistence",1950,1061.09329,"By fish group"
"Cutlassfishes","RCP 2.6","Subsistence",1950,5140.930568,"By fish group"
"Cutlassfishes","RCP 8.5","Subsistence",1950,5140.930568,"By fish group"
"Drums, croakers","RCP 2.6","Subsistence",1950,15243.37332,"By fish group"
"Drums, croakers","RCP 8.5","Subsistence",1950,15243.37332,"By fish group"
"Fourfinger threadfin","RCP 2.6","Subsistence",1950,273.4250155,"By fish group"
"Fourfinger threadfin","RCP 8.5","Subsistence",1950,273.4250155,"By fish group"
"Garment anchovies","RCP 2.6","Subsistence",1950,2094.098815,"By fish group"
"Garment anchovies","RCP 8.5","Subsistence",1950,2094.098815,"By fish group"
"Giant tiger prawn","RCP 2.6","Subsistence",1950,555.5646143,"By fish group"
"Giant tiger prawn","RCP 8.5","Subsistence",1950,555.5646143,"By fish group"
"Green tiger prawn","RCP 2.6","Subsistence",1950,555.5646143,"By fish group"
"Green tiger prawn","RCP 8.5","Subsistence",1950,555.5646143,"By fish group"
"Grunters","RCP 2.6","Subsistence",1950,237.1855588,"By fish group"
"Grunters","RCP 8.5","Subsistence",1950,237.1855588,"By fish group"
"Herrings, sardines, menhadens","RCP 2.6","Subsistence",1950,8068.823848,"By fish group"
"Herrings, sardines, menhadens","RCP 8.5","Subsistence",1950,8068.823848,"By fish group"
"Hilsa shad","RCP 2.6","Subsistence",1950,376.8469981,"By fish group"
"Hilsa shad","RCP 8.5","Subsistence",1950,376.8469981,"By fish group"
"Indian mackerel","RCP 2.6","Subsistence",1950,7.24040127,"By fish group"
"Indian mackerel","RCP 8.5","Subsistence",1950,7.24040127,"By fish group"
"Indian white prawn","RCP 2.6","Subsistence",1950,438.4811976,"By fish group"
"Indian white prawn","RCP 8.5","Subsistence",1950,438.4811976,"By fish group"
"Indo-Pacific prawns","RCP 2.6","Subsistence",1950,4826.533669,"By fish group"
"Indo-Pacific prawns","RCP 8.5","Subsistence",1950,4826.533669,"By fish group"
"Indo-Pacific swamp crab","RCP 2.6","Subsistence",1950,2072.069984,"By fish group"
"Indo-Pacific swamp crab","RCP 8.5","Subsistence",1950,2072.069984,"By fish group"
"Jacks, pompanos","RCP 2.6","Subsistence",1950,536.78837,"By fish group"
"Jacks, pompanos","RCP 8.5","Subsistence",1950,536.78837,"By fish group"
"Jarbua terapon","RCP 2.6","Subsistence",1950,2571.465961,"By fish group"
"Jarbua terapon","RCP 8.5","Subsistence",1950,2571.465961,"By fish group"
"Johns snapper","RCP 2.6","Subsistence",1950,220.3329007,"By fish group"
"Johns snapper","RCP 8.5","Subsistence",1950,220.3329007,"By fish group"
"Kuruma prawn","RCP 2.6","Subsistence",1950,555.5646143,"By fish group"
"Kuruma prawn","RCP 8.5","Subsistence",1950,555.5646143,"By fish group"
"Mullets, grey mullets","RCP 2.6","Subsistence",1950,2104.10118,"By fish group"
"Mullets, grey mullets","RCP 8.5","Subsistence",1950,2104.10118,"By fish group"
"Others","RCP 2.6","Subsistence",1950,80976.59644,"By fish group"
"Others","RCP 8.5","Subsistence",1950,80976.59644,"By fish group"
"Scats","RCP 2.6","Subsistence",1950,87.50898776,"By fish group"
"Scats","RCP 8.5","Subsistence",1950,87.50898776,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Subsistence",1950,3007.125142,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Subsistence",1950,3007.125142,"By fish group"
"Sepia cuttlefishes","RCP 2.6","Subsistence",1950,1125.81998,"By fish group"
"Sepia cuttlefishes","RCP 8.5","Subsistence",1950,1125.81998,"By fish group"
"Silver biddies","RCP 2.6","Subsistence",1950,379.6217286,"By fish group"
"Silver biddies","RCP 8.5","Subsistence",1950,379.6217286,"By fish group"
"Silver pomfret","RCP 2.6","Subsistence",1950,2919.275697,"By fish group"
"Silver pomfret","RCP 8.5","Subsistence",1950,2919.275697,"By fish group"
"Silver sillago","RCP 2.6","Subsistence",1950,119.633067,"By fish group"
"Silver sillago","RCP 8.5","Subsistence",1950,119.633067,"By fish group"
"Slipmouths, ponyfishes","RCP 2.6","Subsistence",1950,1508.500154,"By fish group"
"Slipmouths, ponyfishes","RCP 8.5","Subsistence",1950,1508.500154,"By fish group"
"Smelt-whitings","RCP 2.6","Subsistence",1950,224.3744178,"By fish group"
"Smelt-whitings","RCP 8.5","Subsistence",1950,224.3744178,"By fish group"
"Speckled shrimp","RCP 2.6","Subsistence",1950,897.4213834,"By fish group"
